State,X2019,X2020,Change
Alabama,5672,5047,-11
Alaska,8026,6617,-18
Arizona,6053,5157,-15
Arkansas,5327,4791,-10
California,6222,5120,-18
Colorado,6416,5541,-14
Connecticut,7082,6040,-15
Delaware,6335,5462,-14
District of Columbia,7077,5671,-20
Florida,6460,5623,-13
Georgia,6569,5693,-13
Hawaii,6673,5614,-16
Idaho,5213,4582,-12
Illinois,6253,5365,-14
Indiana,5254,4651,-11
Iowa,4774,4289,-10
Kansas,5769,5063,-12
Kentucky,5140,4521,-12
Louisiana,5811,5127,-12
Maine,5442,4676,-14
Maryland,6946,5977,-14
Massachusetts,6213,5141,-17
Michigan,5399,4692,-13
Minnesota,5489,4767,-13
Mississippi,5134,4587,-11
Missouri,5601,4950,-12
Montana,5482,4785,-13
Nebraska,5423,4819,-11
Nevada,6220,5422,-13
New Hampshire,6235,5327,-15
New Jersey,7084,5978,-16
New Mexico,5851,4948,-15
New York,6491,5414,-17
North Carolina,5832,5121,-12
North Dakota,5265,4865,-8
Ohio,5560,4888,-12
Oklahoma,5848,5271,-10
Oregon,5498,4681,-15
Pennsylvania,5840,5080,-13
Rhode Island,6177,5256,-15
South Carolina,5938,5310,-11
South Dakota,5235,4633,-12
Tennessee,5688,5006,-12
Texas,6753,5848,-13
Utah,5600,4900,-13
Vermont,5466,4653,-15
Virginia,6969,5992,-14
Washington,6156,5238,-15
West Virginia,5144,4686,-9
Wisconsin,4961,4376,-12
Wyoming,5782,5182,-10
